,City,Post Office,Pin Code,Latitude,Longitude
0,Mumbai,August Kranti Marg,400036,18.9635489,72.8099885
1,Mumbai,Aarey Milk Colony,400065,19.1561292,72.8707223
2,Mumbai,Andheri (East),400069,19.1158835,72.854202
3,Mumbai,Andheri (West),400058,19.1172495,72.833968
4,Mumbai,Antop Hill,400037,19.0207608,72.8652556
5,Mumbai,Ballard Estate,400038,18.9366512,72.8391325
6,Mumbai,Bandra (East),400051,19.0616565,72.8498111
7,Mumbai,Bandra (West),400050,19.0583358,72.8302669
8,Mumbai,Bangur Nagar,400090,19.1688142,72.8336777
9,Mumbai,Barve Nagar,400084,19.0952831,72.9001776
10,Mumbai,Bhandup,400078,19.1438684,72.9384327
11,Mumbai,Bhandup (East),400042,19.1485568,72.9470657
12,Mumbai,Mumbai Central,400008,18.9695855,72.8193152
13,Mumbai,Borivli (East),400066,19.2251085,72.8502063
14,Mumbai,Borivli (West),400092,19.2251085,72.8502063
15,Mumbai,Borivli HO,400091,19.2314681,72.8405735
16,Mumbai,Chakala MIDC,400093,19.1152873,72.8618085
17,Mumbai,Chembur,400071,19.0612128,72.8975909
18,Mumbai,Chinch Bunder,400009,18.9641312,72.8416378
19,Mumbai,Colaba,400005,18.915091,72.8259691
20,Mumbai,Cumballa Hill,400026,18.9693073,72.8065375
21,Mumbai,Dadar,400014,19.019282,72.8428757
22,Mumbai,Dahisar,400068,19.2494501,72.8596206
23,Mumbai,Delisle Road,400013,18.9932602,72.8310115
24,Mumbai,Dharavi,400017,19.044463,72.8586177
25,Mumbai,F C I Mumbai,400074,18.9387711,72.8353355
26,Mumbai,Ghatkopar (West),400086,19.0897194,72.9045972
27,Mumbai,Girgaon,400004,18.9543165,72.8179082
28,Mumbai,Goregaon (East),400063,19.1692623,72.8552548
29,Mumbai,Goregaon (West),400062,19.1633281,72.8411995
30,Mumbai,Grant Road,400007,18.9644472,72.8135727
31,Mumbai,Hutatma Chowk,400023,18.9341699,72.83252
32,Mumbai,I I T Mumbai,400076,18.9387711,72.8353355
33,Mumbai,J B Nagar,400059,18.9387711,72.8353355
34,Mumbai,Jacob Circle,400011,18.9810531,72.82678629995553
35,Mumbai,Jogeshwari (East),400060,19.1369889,72.8649418
36,Mumbai,Jogeshwari (West),400102,19.136394,72.8373817
37,Mumbai,Juhu,400049,19.1070215,72.8275275
38,Mumbai,Kalbadevi,400002,18.9492575,72.8279382
39,Mumbai,Kandivli (East),400101,19.2064788,72.8384505
40,Mumbai,Kandivli (West),400067,19.2064788,72.8384505
41,Mumbai,Khar,400052,19.0696584,72.8398944
42,Mumbai,Kharodi,400095,19.191684,72.8140978
43,Mumbai,Kurla,400070,19.0652797,72.8793805
44,Mumbai,Mahim,400016,19.0423145,72.8398344
45,Mumbai,Malabar Hill,400006,18.9581616,72.8033665
46,Mumbai,Malad (East),400097,19.1860219,72.8563181
47,Mumbai,Malad (West),400064,19.1840129,72.8412155
48,Mumbai,Mandpeshwar,400103,19.23584235,72.85283655957588
49,Mumbai,Mandvi,400003,18.9550564,72.8347919
50,Mumbai,Mantralaya,400032,18.92766235,72.82703930367538
51,Mumbai,Marine Lines,400020,18.9456701,72.823781
52,Mumbai,Matunga,400019,19.0274356,72.8501467
53,Mumbai,Mazgaon,400010,18.9680519,72.84001187036267
54,Mumbai,Motilal Nagar,400104,19.1589951,72.84019707773174
55,Mumbai,Mulund (East),400081,19.1704719,72.9610447
56,Mumbai,Mulund (West),400080,19.1719717,72.9511956
57,Mumbai,Mulund Colony,400082,19.1777778,72.9383511
58,Mumbai,Nariman Point,400021,18.9259514,72.8232083
59,Mumbai,Nehru Nagar,400024,19.0010485,72.8194265
60,Mumbai,Pant Nagar,400075,19.0868209,72.9156026
61,Mumbai,Parel,400012,19.0094817,72.8376614
62,Mumbai,Prabhadevi,400025,19.0148811,72.8279556
63,Mumbai,Rajawadi,400077,19.07853645,72.90019463836587
64,Mumbai,SEEPZ,400096,19.1253556,72.8751701719707
65,Mumbai,Sahar,400099,19.0995955,72.867284
66,Mumbai,Saki Naka,400072,19.1082208,72.8835824
67,Mumbai,Santacruz (East),400055,19.0815223,72.8417565
68,Mumbai,Santacruz (West),400054,19.084877,72.8349727
69,Mumbai,Santacruz P&T Colony,400029,19.0923132,72.8446354
70,Mumbai,Sewri,400015,18.9987796,72.8544218
71,Mumbai,Shivaji Nagar (Kurla),400043,19.1141005,72.8622899
72,Mumbai,Sion,400022,19.0465213,72.8632834
73,Mumbai,Tagore Nagar,400083,19.1176276,72.9322006
74,Mumbai,Tank Road,400033,19.02816595,72.86832536911001
75,Mumbai,Telecom Factory Deonar,400088,19.046900450000003,72.91846239254781
76,Mumbai,Tilak Nagar,400089,19.0692377,72.8978464
77,Mumbai,Tulsiwadi,400034,18.9387711,72.8353355
78,Mumbai,Vikhroli,400079,19.1114795,72.928021
79,Mumbai,Vile Parle (East),400057,19.0962884,72.8483799
80,Mumbai,Vile Parle (West),400056,19.1038725,72.8402903
81,Mumbai,Wadala,400031,19.0269192,72.8759337
82,Mumbai,Worli,400018,19.0116962,72.8180702
83,Navi Mumbai,Belapur,400611,19.01898695,73.03909472408442
84,Navi Mumbai,Ghansoli,400701,19.1193307,72.9995096
85,Navi Mumbai,Mumbra,400612,19.2064735,73.0179849
86,Navi Mumbai,Turbhe,400613,19.0761648,73.01766154369602
87,Navi Mumbai,Uran,400702,18.8808,72.9386
88,Navi Mumbai,Vashi,400703,19.075713,73.0003541
89,Thane,Bhayandar,401101,19.1971521,72.8113662
90,Thane,Bhayander (East),401105,19.1160161,72.8200221
91,Thane,Boisar,401501,19.2091438,72.8591832
92,Thane,Manor,401403,18.9387711,72.8353355
93,Thane,Mira,401104,19.2820571,72.8741437
94,Thane,Mira Road,401107,19.1878962,72.8365955
95,Thane,Naupada,400602,19.083579,72.8886519
96,Thane,Nirmal,401304,18.92732875,72.82219717183933
97,Thane,Thane (East),400603,19.0308262,73.0198537
98,Thane,Thane (H Q),400601,19.609814,73.4033791
99,Thane,Uttan,401106,19.2533188,72.7905148
100,Thane,Virar,401303,19.4531561,72.8839655
101,Mumbai,Anu Shakti Nagar,400094,19.037527767647283,72.92814570708681
102,Mumbai,Bhavani Shankar Road,400028,18.9387711,72.8353355
103,Mumbai,Mumbai G P O,400001,18.9387711,72.8353355
104,Mumbai,Council Hall,400039,18.9387711,72.8353355
105,Mumbai,N I T I E,400087,18.9387711,72.8353355
106,Mumbai,Rajbhavan,400035,18.9387711,72.8353355
107,Mumbai,Veer Jijamata Bhosle Udyan,400027,18.9387711,72.8353355
108,Mumbai,Vesava (Versova),400061,19.13373646053233,72.81487711581413
109,Mumbai,Vidyanagari,400098,19.1090916,72.8607705
110,Navi Mumbai,Airoli Mode,400708,19.17297875,73.0035322
111,Navi Mumbai,JNPT Town Ship,400707,18.9387711,72.8353355
112,Navi Mumbai,Konkan Bhawan,400614,18.99038025,73.06534926069733
113,Navi Mumbai,Krishi Utpanna Bazar,400705,19.080266,73.021173
114,Navi Mumbai,Nerul Mode,400706,19.047375,73.0193
115,Thane,Agashi,401301,19.3849292,72.897546
116,Thane,Arnala,401302,19.2023218,73.0025371
117,Thane,Balcum,400608,19.2023218,73.0025371
118,Thane,Bassien,401201,19.3849292,72.897546
119,Thane,Bassien Road,401202,19.3566852,72.892828
120,Thane,Ganeshpuri,401206,18.9387711,72.8353355
121,Thane,Jakegram,400606,19.13261205,72.93201331422414
122,Thane,Kalwa,400605,19.2023218,73.0025371
123,Thane,Kopri Colony,400603,19.13261205,72.93201331422414
124,Thane,Papdi,401207,18.9387711,72.8353355
125,Thane,Sandoz Baug,400607,19.2023218,73.0025371
126,Thane,Sopara,401203,19.3849292,72.897546
127,Thane,Umbarpada,401102,19.3849292,72.897546
128,Thane,Vasai East I/E,401208,19.3849292,72.897546
129,Thane,Vasai Road East,401210,18.9387711,72.8353355
130,Mumbai,B A R C,400085,19.0167,72.85
131,Thane,Talasari,401606,19.9167,73.2333
132,Navi Mumbai,NAD Karanja,400704,19.0778,72.8944
133,Thane,Jawhar,401603,19.9167,73.2333
